
























EMAIL ,SMS ,NOM ,PRODUCT_NAME,Date_Of_Birth ,GENDER ,pin no ,ORDER_ID,,
aliass+5fca20f3c2c551@gmail.com,9886200473336,Kajalsinea,Singhzoxei,19-12-2000,1,805784,253,432,
aliass+5fca20f3c2ddd2@gmail.com,9886200463774,Kajalhoyae,Singhwobou,19-12-2000,2,851817,915,213,
aliass+5fca20f3c2df13@gmail.com,9886200475924,Kajaljoroe,Singhxenue,19-12-2000,1,835466,850,113,
aliass+5fca20f3c2dfd4@gmail.com,9886200454075,Kajalnihoo,Singhceboa,19-12-2000,2,790614,910,405,
aliass+5fca20f3c2e165@gmail.com,9886200445502,Kajalhekaa,Singhgoyoi,19-12-2000,1,742301,739,440,
aliass+5fca20f3c2e296@gmail.com,9886200468490,Kajalxedia,Singhtonae,19-12-2000,1,117826,653,487,
aliass+5fca20f3c2e347@gmail.com,9886200461012,Kajalbozia,Singhjimae,19-12-2000,1,729605,964,755,
aliass+5fca20f3c2e408@gmail.com,9886200427231,Kajalyixoi,Singhpurua,19-12-2000,2,328462,176,234,
aliass+5fca20f3c2e4b9@gmail.com,9886200499060,Kajalzifai,Singhxohui,19-12-2000,2,932613,66,635,
aliass+5fca20f3c2e5610@gmail.com,9886200486428,Kajaljiqau,Singhtegeu,19-12-2000,1,850363,986,757,
aliass+5fca20f3c2e6711@gmail.com,9886200430686,Kajalgumue,Singhcihii,19-12-2000,1,929787,998,947,
aliass+5fca20f3c2e7912@gmail.com,9886200417928,Kajaltuciu,Singhtuqaa,19-12-2000,2,539249,350,427,
aliass+5fca20f3c2e8a13@gmail.com,9886200498982,Kajalrizoa,Singhhonoo,19-12-2000,2,390051,556,80,
aliass+5fca20f3c2e9a14@gmail.com,9886200457188,Kajalluxui,Singhtotea,19-12-2000,1,227783,503,189,
aliass+5fca20f3c2ea615@gmail.com,9886200416119,Kajalhuvio,Singhlario,19-12-2000,1,943069,70,115,
aliass+5fca20f3c2eb116@gmail.com,9886200486232,Kajalvilaa,Singhlabei,19-12-2000,1,162760,22,137,
aliass+5fca20f3c2ebc17@gmail.com,9886200464965,Kajalsevai,Singhlireo,19-12-2000,2,663273,2,615,
aliass+5fca20f3c2ec718@gmail.com,9886200424546,Kajalkimaa,Singhyiwii,19-12-2000,2,357092,848,947,
aliass+5fca20f3c2ed219@gmail.com,9886200457307,Kajalgupao,Singhgulio,19-12-2000,1,936982,747,96,
aliass+5fca20f3c2edd20@gmail.com,9886200443165,Kajalyohea,Singhmejoe,19-12-2000,1,314273,201,323,
aliass+5fca20f3c2ee821@gmail.com,9886200468460,Kajalfefeu,Singhjurao,19-12-2000,2,820088,284,177,
aliass+5fca20f3c2ef422@gmail.com,9886200488237,Kajalgeveu,Singhtiyoe,19-12-2000,1,837985,567,241,
aliass+5fca20f3c2eff23@gmail.com,9886200470349,Kajalyucaa,Singhnatei,19-12-2000,1,972495,611,989,
aliass+5fca20f3c2f0a24@gmail.com,9886200453946,Kajalmiwuu,Singhmigia,19-12-2000,1,581218,47,735,
aliass+5fca20f3c2f1525@gmail.com,9886200490033,Kajalziziu,Singhjigia,19-12-2000,1,594229,165,698,
aliass+5fca20f3c2f2126@gmail.com,9886200488871,Kajaltikoe,Singhkubou,19-12-2000,2,671006,309,523,
aliass+5fca20f3c2f3027@gmail.com,9886200470251,Kajalkekai,Singhvedei,19-12-2000,2,361901,802,580,
aliass+5fca20f3c2f4228@gmail.com,9886200444756,Kajalwifoo,Singhvihui,19-12-2000,2,844145,97,759,
aliass+5fca20f3c2f5429@gmail.com,9886200444809,Kajalzetio,Singhhipie,19-12-2000,2,667037,650,853,
aliass+5fca20f3c2f6430@gmail.com,9886200465034,Kajalmikio,Singhtupee,19-12-2000,1,485955,275,530,
aliass+5fca20f3c2f6f31@gmail.com,9886200438414,Kajaltelei,Singhpuqao,19-12-2000,1,407759,680,31,
aliass+5fca20f3c2f7b32@gmail.com,9886200497904,Kajalwevia,Singhbawao,19-12-2000,1,182209,61,410,
aliass+5fca20f3c2f8633@gmail.com,9886200460863,Kajalqawua,Singhcojuu,19-12-2000,1,695915,130,362,
aliass+5fca20f3c2f9134@gmail.com,9886200421850,Kajalwixau,Singhtowei,19-12-2000,2,464720,605,851,
aliass+5fca20f3c2f9c35@gmail.com,9886200492758,Kajalkupao,Singhrijoo,19-12-2000,2,869159,889,188,
aliass+5fca20f3c2fa736@gmail.com,9886200484719,Kajalcamio,Singhpiceu,19-12-2000,1,301866,576,844,
aliass+5fca20f3c2fb237@gmail.com,9886200475127,Kajalhopia,Singhzesiu,19-12-2000,1,632875,757,554,
